customer_id,customer_name,email,join_date,customer_segment,lifetime_value,transaction_count,customer_tenure_days,avg_order_value
1,Customer_1,customer1@email.com,2023-07-24,Regular,2482.71,5,551,496.54200000000003
2,Customer_2,customer2@email.com,2022-11-23,VIP,6605.54,9,885,733.9488888888889
3,Customer_3,customer3@email.com,2024-05-15,Premium,7856.87,15,955,523.7913333333333
4,Customer_4,customer4@email.com,2023-07-24,Regular,9537.79,8,994,1192.22375
5,Customer_5,customer5@email.com,2023-03-17,Premium,4939.4,10,825,493.93999999999994
6,Customer_6,customer6@email.com,2022-07-29,Regular,7844.32,10,810,784.432
7,Customer_7,customer7@email.com,2024-02-18,Regular,6383.08,15,934,425.53866666666664
8,Customer_8,customer8@email.com,2024-01-06,Premium,10626.86,16,1056,664.17875
9,Customer_9,customer9@email.com,2023-06-26,Regular,6922.49,9,1026,769.1655555555556
10,Customer_10,customer10@email.com,2024-07-29,VIP,3197.2200000000003,10,699,319.72200000000004
11,Customer_11,customer11@email.com,2022-09-13,Premium,5852.63,11,1066,532.0572727272728
12,Customer_12,customer12@email.com,2022-06-11,VIP,7328.31,12,979,610.6925
13,Customer_13,customer13@email.com,2023-08-24,VIP,3435.25,9,645,381.69444444444446
14,Customer_14,customer14@email.com,2024-01-11,VIP,9852.99,12,955,821.0825
15,Customer_15,customer15@email.com,2023-01-29,VIP,6965.28,10,458,696.528
16,Customer_16,customer16@email.com,2022-05-23,Regular,12182.31,9,872,1353.59
17,Customer_17,customer17@email.com,2023-04-12,Premium,8477.210000000001,12,891,706.4341666666668
18,Customer_18,customer18@email.com,2022-06-13,Regular,5949.139999999999,8,1031,743.6424999999999
19,Customer_19,customer19@email.com,2022-07-26,Premium,6326.3099999999995,13,921,486.6392307692307
20,Customer_20,customer20@email.com,2023-07-24,Premium,14401.95,14,907,1028.7107142857144
21,Customer_21,customer21@email.com,2024-01-18,Regular,12133.49,15,1042,808.8993333333333
22,Customer_22,customer22@email.com,2024-01-29,Premium,6667.17,16,932,416.698125
23,Customer_23,customer23@email.com,2023-03-06,VIP,8329.59,17,914,489.9758823529412
24,Customer_24,customer24@email.com,2023-07-01,VIP,12653.97,11,687,1150.360909090909
25,Customer_25,customer25@email.com,2022-05-27,VIP,6208.31,9,802,689.8122222222223
26,Customer_26,customer26@email.com,2022-12-17,VIP,4593.34,11,886,417.5763636363636
27,Customer_27,customer27@email.com,2023-05-17,Regular,4525.27,9,1027,502.8077777777778
28,Customer_28,customer28@email.com,2024-08-04,Premium,4467.24,9,983,496.35999999999996
29,Customer_29,customer29@email.com,2023-07-07,VIP,12322.25,17,744,724.8382352941177
30,Customer_30,customer30@email.com,2023-03-26,VIP,5444.07,10,756,544.4069999999999
31,Customer_31,customer31@email.com,2023-10-27,Regular,7138.540000000001,11,696,648.9581818181819
32,Customer_32,customer32@email.com,2023-04-15,Regular,16282.029999999999,16,816,1017.6268749999999
33,Customer_33,customer33@email.com,2023-10-09,Premium,6910.9800000000005,9,762,767.8866666666668
34,Customer_34,customer34@email.com,2023-07-03,Regular,5036.33,11,962,457.8481818181818
